cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;4543;6373;11081;15403;24800;24490;14570;15237;20130;19370;15106;7466
4-01-00-00;   INGRESOS OPERATIVOS;4543;6373;11081;15403;24800;24490;14570;15237;20130;19370;15106;7466
4-01-01-00;      INGRESOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;4543;6373;11081;15403;24800;24490;14570;15237;20130;19370;15106;7466
4-01-02-01;         INGRESOS VENTAS;4543;6373;11081;15403;24800;24490;14570;15237;20130;19370;15106;7466
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;16968.91443;15002.21787;14971.87552;16892.51;16946.99034;13371.65783;17387.88197;15160.08197;13462.69231;12730.98541;14855.46472;10329.91645
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;11471.37207;11471.37207;11471.37207;11471.37207;13487.44552;11685.46817;11685.46817;11685.46817;11685.46817;11685.46817;9522.468173;9522.468173
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;11471.37207;11471.37207;11471.37207;11471.37207;13487.44552;11685.46817;11685.46817;11685.46817;11685.46817;11685.46817;9522.468173;9522.468173
5-02-01-01;         SUELDOS AL PERSONAL;6247.841972;6247.841972;6247.841972;6247.841972;7670.617866;6398.933079;6398.933079;6398.933079;6398.933079;6398.933079;6398.933079;6398.933079
5-02-01-02;         APORTES PATRONALES;1044.014393;1044.014393;1044.014393;1044.014393;1281.760245;1069.261718;1069.261718;1069.261718;1069.261718;1069.261718;1069.261718;1069.261718
5-02-01-03;         AGUINALDOS;1040.890472;1040.890472;1040.890472;1040.890472;1277.924936;1066.062251;1066.062251;1066.062251;1066.062251;1066.062251;1066.062251;1066.062251
5-02-01-04;         INDEMNIZACION-VACACION;520.4452362;520.4452362;520.4452362;520.4452362;638.9624682;533.0311255;533.0311255;533.0311255;533.0311255;533.0311255;533.0311255;533.0311255
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;2163;2163;2163;2163;2163;2163;2163;2163;2163;2163;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18;455.18
5-02-02-00;      GASTOS PERSONAL EXTERNO;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-00-00;   GASTOS DE OPERACION;5497.542352;3530.845801;3500.503448;5421.137931;3459.544828;1686.189655;5702.413793;3474.613793;1777.224138;1045.517241;5332.996552;807.4482759
5-03-01-00;      GASTOS DE OPERACION;5497.542352;3530.845801;3500.503448;5421.137931;3459.544828;1686.189655;5702.413793;3474.613793;1777.224138;1045.517241;5332.996552;807.4482759
5-03-01-01;         MATERIAL DE ESCRITORIO;3720;2599.2;105.5;4340;2599.2;105.5;4650;2599.2;105.5;0;2599.2;0
5-03-01-02;         SERVICIOS EXTERNOS  ;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-04;         SERVICIO DE COURIER;20;0;0;0;0;0;0;0;0;0;0;0
5-03-01-05;         SERVICIOS Y COMUNICACIONES;361.88718;361.88718;0;0;0;0;0;0;0;0;0;0
5-03-01-06;         SERVICIO DE SEGURIDAD;689;0;0;0;0;0;0;0;0;0;0;0
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;150;150;150;150;150;150;150;150;150;150;150;150
5-03-01-08;         REPARACION Y MANTENIMIENTO;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-09;         ALQUILER OFICINAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-10;         ALQUILER OTROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-11;         SEGUROS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;156.6551724;219.7586207;382.1034483;531.137931;510.3448276;430.6896552;502.4137931;525.4137931;521.7241379;495.5172414;520.8965517;257.4482759
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;200;200;200;200;200;200;200;200;200;200;200;200
5-03-01-16;         PASAJES Y VIATICOS;0;0;1862.9;0;0;0;0;0;0;0;1862.9;0
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-19;         GASTOS MOVILIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-20;         SERVICIOS Y MATERIAL DE LIMPIEZA;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-21;         GASTOS DE REPRESENTACION;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-22;         SUSCRIPCIONES Y CUOTAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-23;         INTERESES Y MULTAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-24;         PATENTES MUNICIPALES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-25;         CAPACITACION PERSONAL;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-26;         MEJORAS Y ARREGLOS A LAS INSTALACIONES;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-27;         SERVICIOS PUBLICITARIOS;0;0;800;0;0;800;0;0;800;0;0;0
5-03-01-28;         IMPUESTO A LAS TRANSCCIONES FINANCIERAS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-29;         PERDIDA EN INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-30;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-31;         GASTOS VARIOS;200;0;0;200;0;0;200;0;0;200;0;200
5-03-01-32;         GASTOS SA ;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-33;         GASTOS DN ;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-50;         EQUIPOS DE COMPUTACI‡N ;0;0;0;0;0;0;0;0;0;0;0;0
