COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
60;829;872;22;3125;;MINISTERIO DE ENERGIA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;829;872;22;3125;;MINISTERIO DE ENERGIA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;829;872;22;3125;;AUTORIDAD DE ELECTRICIDAD Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;829;872;22;3125;;AUTORIDAD DE ELECTRICIDAD Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;829;872;22;3125;;ENDE COORPORACION Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;829;872;22;3125;;ENDE COORPORACION Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;829;872;22;3125;;COMITê NACIONAL DE DESPACHO DE CARGA Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;829;872;22;3125;;COMITê NACIONAL DE DESPACHO DE CARGA Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
60;829;872;22;3125;;ASOCIACION BOLIVIANA DE ENERGIAS RENOVABLES Eventos de involucramiento;Involucramiento de PI;N¯ Eventos;NO;;;;;;;;;;;;;;;
60;829;872;22;3125;;ASOCIACION BOLIVIANA DE ENERGIAS RENOVABLES Gesti¢n para acreditar a los delegados;Participaci¢n en CTN;Organizaciones;SI;;;;;;;;;;;;;;;
