cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;79931.28;123672.32;184972.32;207392.32;222460;231460;232460;239460;238460;235260;171690.72;143140
4-01-00-00;   INGRESOS OPERATIVOS;79931.28;123672.32;184972.32;215392.32;222460;234460;233460;239460;238460;235260;166690.72;138140
4-01-01-00;      INGRESOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;79931.28;123672.32;184972.32;215392.32;222460;234460;233460;239460;238460;235260;166690.72;138140
4-01-03-01;         INGRESOS POR CAPACITACION;79931.28;123672.32;184972.32;215392.32;222460;234460;233460;239460;238460;235260;166690.72;138140
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;114064.2736;147278.5126;206956.6574;195271.7094;198696.3374;221455.0045;200678.9345;221627.2691;223606.3978;225981.8823;167608.6562;139031.1049
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;41077.2916;53677.2916;68797.2916;68797.2916;68797.2916;68797.2916;70797.2916;70797.2916;70797.2916;70797.2916;63237.2916;43077.2916
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;25957.2916;25957.2916;25957.2916;25957.2916;25957.2916;25957.2916;27957.2916;27957.2916;27957.2916;27957.2916;27957.2916;27957.2916
5-02-01-01;         SUELDOS AL PERSONAL;17354.8;17354.8;17354.8;17354.8;17354.8;17354.8;17354.8;17354.8;17354.8;17354.8;17354.8;17354.8
5-02-01-02;         APORTES PATRONALES;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708;2899.98708
