PLAN DE CUENTAS;;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;107765.12;106931.84;126500;116665.6;142831.2;91500;164084.952;112649.16;126500;114654.4;114911.2;113030.56
4-01-00-00;   INGRESOS OPERATIVOS;107765.12;106931.84;126500;116665.6;142831.2;91500;164084.952;112649.16;126500;114654.4;114911.2;113030.56
4-01-01-00;      INGRESOS POR SERVICIOS;80265.12;55431.84;30000;48165.6;66331.2;30000;87584.952;36149.16;30000;43154.4;52411.2;46982.4
4-01-01-01;         INGRESOS POR CERTIFICACION OI;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000;30000
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;22411.2;0;0;0;0;0;17923.392;6149.16;0;13154.4;22411.2;12110.4
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;27853.92;25431.84;0;18165.6;36331.2;0;39661.56;0;0;0;0;4872
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
4-01-02-01;         INGRESOS VENTAS;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;25000;49000;94000;66000;74000;59000;74000;74000;94000;69000;60000;63548.16
4-01-03-01;         INGRESOS POR CAPACITACION;25000;49000;94000;66000;74000;59000;74000;74000;94000;69000;60000;63548.16
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;97556.80545;95566.69166;127024.9058;114114.2486;135477.2706;121751.8992;145458.3586;121518.8806;124928.4458;122569.4442;115747.152;109765.1523
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS O.I.;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;62744.52683;67491.72683;65278.92683;70318.92683;77278.92683;67952.52683;82360.92683;70458.92683;67952.52683;72022.90421;68008.92683;64305.72683
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;50312.52683;50312.52683;50312.52683;50312.52683;50312.52683;50312.52683;50312.52683;50312.52683;50312.52683;51806.50421;50312.52683;50312.52683
5-02-01-01;         SUELDOS AL PERSONAL;33432.99;33432.99;33432.99;33432.99;33432.99;33432.99;33432.99;33432.99;33432.99;34439.13;33432.99;33432.99
5-02-01-02;         APORTES PATRONALES;5586.652629;5586.652629;5586.652629;5586.652629;5586.652629;5586.652629;5586.652629;5586.652629;5586.652629;5754.778623;5586.652629;5586.652629
5-02-01-03;         AGUINALDOS;5569.936134;5569.936134;5569.936134;5569.936134;5569.936134;5569.936134;5569.936134;5569.936134;5569.936134;5737.559058;5569.936134;5569.936134
5-02-01-04;         INDEMNIZACION-VACACION;2784.968067;2784.968067;2784.968067;2784.968067;2784.968067;2784.968067;2784.968067;2784.968067;2784.968067;2868.779529;2784.968067;2784.968067
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;2937.98;2937.98;2937.98;2937.98;2937.98;2937.98;2937.98;2937.98;2937.98;3006.257;2937.98;2937.98
5-02-02-00;      GASTOS PERSONAL EXTERNO;12432;17179.2;14966.4;20006.4;26966.4;17640;32048.4;20146.4;17640;20216.4;17696.4;13993.2
5-02-02-01;         HONORARIOS PROFESIONALES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-02;         HONORARIOS DOCENTES;7560;10080;12600;17640;17640;17640;17640;17640;17640;17640;15120;12600
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;4872;7099.2;2366.4;2366.4;9326.4;0;14408.4;2506.4;0;2576.4;2576.4;1393.2
5-03-00-00;   GASTOS DE OPERACION;34812.27862;28074.96483;61745.97897;43795.32172;58198.34379;53799.37241;63097.43179;51059.95379;56975.91897;50546.54;47738.22517;45459.42552
5-03-01-00;      GASTOS DE OPERACION;34812.27862;28074.96483;61745.97897;43795.32172;58198.34379;53799.37241;63097.43179;51059.95379;56975.91897;50546.54;47738.22517;45459.42552
5-03-01-01;         MATERIAL DE ESCRITORIO;2110.14;510.23;913.35;1285.65;924.15;670.2;1124.41;1036.06;470.45;1580.82;459.65;513.1
5-03-01-02;         SERVICIOS EXTERNOS  ;0;0;0;1500;0;1500;1500;0;1500;1500;7549;0
5-03-01-04;         SERVICIO DE COURIER;408;408;408;400;408;408;408;408;408;408;408;408
5-03-01-05;         SERVICIOS Y COMUNICACIONES;2280;2280;2280;2280;2280;2280;2280;2280;2280;2280;2280;2280
5-03-01-06;         SERVICIO DE SEGURIDAD;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-07;         REFRIGERIOS CURSOS-COMITêS-OTROS;1950;2550;3900;3900;3900;4650;4650;4650;4650;4650;3900;3900
5-03-01-08;         REPARACION Y MANTENIMIENTO;300;300;300;300;300;300;300;300;300;300;300;300
5-03-01-09;         ALQUILER OFICINAS;10870;10870;10870;10870;10870;10870;10870;10870;10870;10870;10870;10870
5-03-01-10;         ALQUILER OTROS;0;0;0;0;1000;1000;0;0;0;0;0;0
5-03-01-11;         SEGUROS;0;0;0;600;0;0;0;0;0;0;0;800
5-03-01-12;         IMPUESTO A LAS TRANSACCIONES;3716.038621;3687.304828;4362.068966;4022.951724;4925.213793;3155.172414;5658.101793;3884.453793;4362.068966;3953.6;3962.455172;3897.605517
5-03-01-13;         DEPRECIACION DE ACTIVOS FIJOS;0;0;6000;0;0;6000;0;0;6000;0;0;6000
5-03-01-14;         AMORTIZACION OTROS ACTIVOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-15;         SERVICIO DE FOTOCOPIAS;850;850;1850;1850;1450;1050;1050;1450;1450;1444;1444;1444
5-03-01-16;         PASAJES Y VIATICOS;7674.74;2459.43;6222.56;10336.72;13050.98;8642;15591.92;10811.44;9360.4;12055.12;10955.12;9636.72
5-03-01-17;         GASTOS BANCARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-03-01-18;         GASTOS DE IMPRENTA;700;1100;100;800;1100;100;1800;100;1100;100;700;100
5-03-01-19;         GASTOS MOVILIDAD;480;480;480;480;480;480;480;480;480;480;480;480
