cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;131290.645;115096.5845;137711.812;137447.1572;143929.0922;148587.0827;145126.5762;158519.2396;133260.8022;142322.2104;143055.489;148179.5828
4-01-00-00;   INGRESOS OPERATIVOS;131290.645;115096.5845;137711.812;137447.1572;143929.0922;148587.0827;145126.5762;158519.2396;133260.8022;142322.2104;143055.489;148179.5828
4-01-01-00;      INGRESOS POR SERVICIOS;131290.645;115096.5845;137711.812;137447.1572;143929.0922;148587.0827;145126.5762;158519.2396;133260.8022;142322.2104;143055.489;148179.5828
4-01-01-01;         INGRESOS POR CERTIFICACION OI;131290.645;115096.5845;137711.812;137447.1572;143929.0922;148587.0827;145126.5762;158519.2396;133260.8022;142322.2104;143055.489;148179.5828
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;123218.6718;114729.3855;137495.8977;128097.4529;145925.2297;142820.5673;133400.5687;141267.4574;133115.0734;138159.2428;134604.8831;142569.3164
5-01-00-00;   COSTO DE INVENTARIOS;15400;13863.5;22546.3;21420;21946.4;24502.1;25000.5;24850;21840;25340;21910;25480
5-01-01-00;      COSTO DE INVENTARIOS;15400;13863.5;22546.3;21420;21946.4;24502.1;25000.5;24850;21840;25340;21910;25480
5-01-01-01;         COSTO DE INVENTARIOS ;15400;13863.5;22546.3;21420;21946.4;24502.1;25000.5;24850;21840;25340;21910;25480
5-02-01-00;      GASTOS EN PERSONAL;38828.44938;39266.94938;40143.84938;41897.74938;47594.59567;41673.20564;41673.20564;41673.20564;40796.20564;41673.20564;42550.20564;43082.60564
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;38389.94938;38389.94938;38389.94938;38389.94938;46717.59567;39919.20564;39919.20564;39919.20564;39919.20564;39919.20564;39919.20564;39919.20564
5-02-01-01;         SUELDOS AL PERSONAL;25807.50133;25807.50133;25807.50133;25807.50133;31684.45707;26886.7224;26886.7224;26886.7224;26886.7224;26886.7224;26886.7224;26886.7224
5-02-01-02;         APORTES PATRONALES;4312.433472;4312.433472;4312.433472;4312.433472;5294.472777;4492.771313;4492.771313;4492.771313;4492.771313;4492.771313;4492.771313;4492.771313
5-02-01-03;         AGUINALDOS;4299.529721;4299.529721;4299.529721;4299.529721;5278.630548;4479.327952;4479.327952;4479.327952;4479.327952;4479.327952;4479.327952;4479.327952
5-02-01-04;         INDEMNIZACION-VACACION;2149.76486;2149.76486;2149.76486;2149.76486;2639.315274;2239.663976;2239.663976;2239.663976;2239.663976;2239.663976;2239.663976;2239.663976
5-02-01-06;         DESAHUCIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-07;         SUBSIDIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-08;         REFRIGERIOS DEL PERSONAL;1820.72;1820.72;1820.72;1820.72;1820.72;1820.72;1820.72;1820.72;1820.72;1820.72;1820.72;1820.72
5-02-02-00;      GASTOS PERSONAL EXTERNO;438.5;877;1753.9;3507.8;877;1754;1754;1754;877;1754;2631;3163.4
5-02-02-01;         HONORARIOS PROFESIONALES;438.5;877;1753.9;3507.8;877;1754;1754;1754;877;1754;2631;3163.4
5-02-02-02;         HONORARIOS DOCENTES;0;0;0;0;0;0;0;0;0;0;0;0
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0;0;0;0;0;0;0;0;0;0;0;0
