cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-00-00;   INGRESOS OPERATIVOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-01-00;      INGRESOS POR SERVICIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-01-05;         INGRESOS POR LABORATORIO;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-02-00;      INGRESOS VENTAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-02-01;         INGRESOS VENTAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-02-10;         AUSPICIOS Y EVENTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-03-00;      INGRESOS POR CAPACITACION;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-03-01;         INGRESOS POR CAPACITACION;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-02-00-00;   INGRESOS PROYECTOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-02-01-00;      PROYECTO VARIOS ;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-02-01-10;         OTROS INGRESOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-10-00-00;   INGRESOS NO OPERATIVOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-10-01-00;      INGRESOS MONETARIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-10-01-01;         INTERESES GANADOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-10-01-02;         COMISIONES GANADAS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-10-02-00;      INGRESOS NO MONETARIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4-10-02-01;         OTROS INGRESOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-00-00-00;EGRESOS;73384.05;88535.56;73923.40;70195.64;73918.17;73896.87;67713.69;70135.11;72792.36;72311.14;68839.76;69354.27
5-01-00-00;   COSTO DE INVENTARIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-01-01-00;      COSTO DE INVENTARIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-01-01-01;         COSTO DE INVENTARIOS ;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-02-01-00;      GASTOS EN PERSONAL;59891.10;59813.51;60615.23;59839.37;60641.10;59839.37;59751.44;59777.30;60449.71;60527.30;59751.44;59725.58
5-02-01-00;       GASTOS PERSONAL DEPENDIENTE;57816.10;57738.51;57790.23;57764.37;57816.10;57764.37;57676.44;57702.30;57624.71;57702.30;57676.44;57650.58
5-02-01-01;         SUELDOS AL PERSONAL;39209.46;39209.46;39209.46;39209.46;39209.46;39209.46;39209.46;39209.46;39209.46;39209.46;39209.46;39209.46
5-02-01-02;         APORTES PATRONALES;6551.90;6551.90;6551.90;6551.90;6551.90;6551.90;6551.90;6551.90;6551.90;6551.90;6551.90;6551.90
5-02-01-03;         AGUINALDOS;6532.30;6532.30;6532.30;6532.30;6532.30;6532.30;6532.30;6532.30;6532.30;6532.30;6532.30;6532.30
5-02-01-04;         INDEMNIZACION-VACACION;3266.15;3266.15;3266.15;3266.15;3266.15;3266.15;3266.15;3266.15;3266.15;3266.15;3266.15;3266.15
5-02-01-06;         DESAHUCIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-02-01-07;         SUBSIDIOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-02-01-08;         REFRIGERIOS DEL PERSONAL;2256.29;2178.71;2230.43;2204.57;2256.29;2204.57;2116.64;2142.50;2064.91;2142.50;2116.64;2090.77
5-02-02-00;      GASTOS PERSONAL EXTERNO;2075.00;2075.00;2825.00;2075.00;2825.00;2075.00;2075.00;2075.00;2825.00;2825.00;2075.00;2075.00
5-02-02-01;         HONORARIOS PROFESIONALES;2075.00;2075.00;2825.00;2075.00;2825.00;2075.00;2075.00;2075.00;2825.00;2825.00;2075.00;2075.00
5-02-02-02;         HONORARIOS DOCENTES;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-02-02-03;         HONORARIOS AUDITORES EXTERNOS;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
5-03-00-00;   GASTOS DE OPERACION;13492.95;28722.05;13308.17;10356.27;13277.07;14057.50;7962.25;10357.81;12342.65;11783.84;9088.32;9628.69
5-03-01-00;      GASTOS DE OPERACION;13492.95;28722.05;13308.17;10356.27;13277.07;14057.50;7962.25;10357.81;12342.65;11783.84;9088.32;9628.69
5-03-01-01;         MATERIAL DE ESCRITORIO;1054.33;406.21;814.33;528.95;356.51;534.81;455.83;628.57;303.81;765.89;347.47;654.39
5-03-01-02;         SERVICIOS EXTERNOS  ;0.00;0.00;0.00;0.00;0.00;0.00;0.00;500.00;0.00;0.00;0.00;0.00
